,Shares,Cost(Euro/share),Profit(% post 2 years)
89319,Share-Dz3X2O,908.2,6
89320,Share-QePD2K,718.3,5
89321,Share-dZAj12,486.4,1
89322,Share-ClLX3i,104.8,8
89323,Share-QN908D,150.3,6
89324,Share-ELB6RM,421.9,4
89325,Share-v6gkfi,65.4,9
89326,Share-7aCfkE,586.1,13
89327,Share-bEbt7C,999.5,6
89328,Share-pSal9k,711.2,3
89329,Share-KWRsEm,663.5,19
89330,Share-b33qlF,140.2,8
89331,Share-46T7GS,207.9,12
89332,Share-GWU04f,956.0,18
89333,Share-Lt4GCC,274.0,7
89334,Share-oU7T1k,52.0,15
89335,Share-VKCLYD,162.2,6
89336,Share-A37YZn,763.9,14
89337,Share-9gIKQR,901.2,7
89338,Share-RTb4om,470.8,6
89339,Share-8lr9u6,851.9,2
89340,Share-lwfKNd,454.5,2
89341,Share-jSqe00,973.4,16
89342,Share-dkNA2r,156.7,3
89343,Share-JCzLMC,95.9,12
89344,Share-9XeRZK,389.6,16
89345,Share-CzhY5K,865.2,17
89346,Share-H2sSuH,820.1,5
89347,Share-hyIdnl,496.5,19
89348,Share-XufzTM,976.0,10
89349,Share-zA61O5,556.8,3
89350,Share-Qs3du3,824.5,14
89351,Share-aWA0eb,257.3,7
89352,Share-xizDv7,588.3,1
89353,Share-DoKjwA,490.6,1
89354,Share-xO4zUv,102.9,6
89355,Share-zowoEv,289.4,16
89356,Share-qaIMJm,916.7,3
89357,Share-TTh1e8,622.3,14
89358,Share-gjpV3G,213.5,9
89359,Share-7g8iBg,874.3,1
89360,Share-uwbSpZ,404.4,7
89361,Share-SItHTf,899.4,7
89362,Share-wt5ASk,98.5,5
89363,Share-cl1oDk,235.9,3
89364,Share-VLZ6gX,991.0,13
89365,Share-QulncU,466.6,14
89366,Share-RHYIBi,927.3,4
89367,Share-8LSaSx,138.7,12
89368,Share-7qTTM0,81.8,17
89369,Share-8XrJTP,746.5,13
89370,Share-dUF0BD,593.2,3
89371,Share-zUjOSD,817.9,18
89372,Share-Z8hwQL,379.6,11
89373,Share-pI16HQ,214.8,13
89374,Share-Ur7Os9,647.0,16
89375,Share-qm5fnf,218.1,11
89376,Share-JBKDN7,834.0,19
89377,Share-0h4aVr,308.4,17
89378,Share-chJqTC,133.5,15
89379,Share-ctDCAq,469.6,4
89380,Share-VrmGnC,538.5,8
89381,Share-tZJji1,820.3,17
89382,Share-ylqXDo,445.3,4
89383,Share-f6gvbN,724.4,18
89384,Share-xhmAcE,66.1,8
89385,Share-RMqWKp,357.4,1
89386,Share-uvIfpU,271.6,7
89387,Share-YVXzPI,764.0,8
89388,Share-5WCg0h,647.6,14
89389,Share-Dtsu5e,53.9,1
89390,Share-i6ajAE,15.4,13
89391,Share-ycnqwf,540.0,3
89392,Share-xjG4Ti,194.5,13
89393,Share-MDRdbn,167.7,3
89394,Share-k1eEj4,386.1,17
89395,Share-Elh8Js,958.1,1
89396,Share-NBlwqi,574.8,13
89397,Share-bJOdHn,120.6,14
89398,Share-uVUJ5W,355.9,15
89399,Share-WidlpW,74.2,10
89400,Share-sc5hwP,977.5,15
89401,Share-Sb5qtG,249.8,2
89402,Share-EHeeOB,559.3,7
89403,Share-aSediy,31.8,6
89404,Share-WoDOy3,396.6,7
89405,Share-XJlu6W,369.5,18
89406,Share-vm5WIE,434.2,19
89407,Share-nPEeWl,672.1,11
89408,Share-bp5hwn,602.2,10
89409,Share-RDTaEr,828.4,13
89410,Share-9X8FjO,712.1,9
89411,Share-VsT5YB,315.7,9
89412,Share-UVbtmD,725.0,9
89413,Share-Pq4K3b,82.6,14
89414,Share-QWCjYl,881.7,5
89415,Share-OjfBG8,931.5,13
89416,Share-8hU5vf,877.3,5
89417,Share-QOlrU0,880.4,10
89418,Share-6jkHnw,250.1,4
89419,Share-CGKGq7,252.7,4
89420,Share-NRW830,395.0,16
89421,Share-RpGc8d,230.8,6
89422,Share-XoRbzI,10.4,7
89423,Share-gR5dhh,100.9,2
89424,Share-1Kpye7,301.3,13
89425,Share-XF1iE3,639.2,18
89426,Share-nza0C7,362.8,4
89427,Share-RsOnqF,10.4,5
89428,Share-oyUvAk,847.5,3
89429,Share-nmvf2L,422.1,13
89430,Share-FvVKE8,162.6,17
89431,Share-dIYLxw,160.6,14
89432,Share-ypbFFu,817.2,5
89433,Share-yenhRK,107.0,1
89434,Share-KfJo3c,440.7,1
89435,Share-mAJ3Io,640.2,5
89436,Share-ciNpOf,538.5,8
89437,Share-2V9hLK,85.7,16
89438,Share-kfzD0D,797.5,4
89439,Share-aAyOGE,372.3,7
89440,Share-DJUau7,836.3,17
89441,Share-4mzPOu,75.2,9
89442,Share-okKJp1,775.4,13
89443,Share-Kg7Dix,637.8,6
89444,Share-mKZY1Z,585.8,4
89445,Share-ryH6JU,959.3,6
89446,Share-upwGHM,113.3,8
89447,Share-Lp8Chk,981.3,13
89448,Share-mlXYgV,960.7,15
89449,Share-naofuU,36.4,19
89450,Share-9NWtY3,753.3,19
89451,Share-U4XFTb,649.1,13
89452,Share-XbF0Fk,839.6,7
89453,Share-uQ2rsb,773.0,13
89454,Share-vjb0Jj,182.5,1
89455,Share-KEI04d,298.4,18
89456,Share-eFoHly,49.4,4
89457,Share-6fZqGG,192.9,17
89458,Share-mr9D84,441.3,10
89459,Share-N1kLCi,389.0,2
89460,Share-mAblHF,167.2,17
89461,Share-Pi9aCW,643.7,4
89462,Share-rd0No2,323.7,18
89463,Share-urS9n4,145.1,7
89464,Share-GpMicF,737.9,9
89465,Share-D2w6Gb,433.5,6
89466,Share-r3UCWB,159.2,13
89467,Share-u6raiu,945.5,18
89468,Share-0NLnM1,144.2,19
89469,Share-qkp6qs,292.4,10
89470,Share-c2XC0b,980.8,2
89471,Share-xDRt1q,689.2,13
89472,Share-zRWjp4,121.7,18
89473,Share-b6vZfp,618.7,7
89474,Share-qrsdVb,801.7,14
89475,Share-dq8fEi,161.4,4
89476,Share-faJy9u,203.9,17
89477,Share-3IM82H,453.5,12
89478,Share-YpakFP,288.0,7
89479,Share-r27mRH,768.0,8
89480,Share-rSwKCc,801.3,4
89481,Share-ptSPii,750.4,19
89482,Share-MzCGOE,53.0,10
89483,Share-6rmLfl,110.4,12
89484,Share-gMPCMh,15.4,5
89485,Share-ejAbeD,891.8,1
89486,Share-ZGUA1g,741.7,19
89487,Share-x33mqD,909.0,8
89488,Share-wXA17L,648.7,15
89489,Share-BpHmFw,198.6,9
89490,Share-Pf5fSQ,898.8,4
89491,Share-qmym12,206.5,13
89492,Share-llsBh8,846.3,7
89493,Share-dwH7GY,210.4,12
89494,Share-EFHPFP,653.0,9
89495,Share-NZe94G,887.4,17
89496,Share-BHGvMw,217.0,18
89497,Share-4ftniF,848.0,7
89498,Share-I4iIkY,43.7,10
89499,Share-rtK5cL,170.0,18
89500,Share-AsMZsw,435.7,8
89501,Share-e2TiSh,405.8,17
89502,Share-pm5K0A,15.0,17
89503,Share-qcVtM9,552.5,16
89504,Share-QTC7cl,988.0,15
89505,Share-Nye6UX,876.9,17
89506,Share-17vgCY,306.3,19
89507,Share-DhNLJ6,994.9,4
89508,Share-eIYGOG,106.8,11
89509,Share-TrP9P0,535.0,19
89510,Share-yPcpeW,245.2,11
89511,Share-UZ0bzu,191.0,10
89512,Share-SNFgA2,858.3,17
89513,Share-dlgs0u,732.9,19
89514,Share-6q5IZx,631.4,8
89515,Share-Zy9JLj,102.6,5
89516,Share-X1F0RZ,227.2,10
89517,Share-XMRJrW,769.4,10
89518,Share-R1TGhY,587.8,9
89519,Share-Rio7SC,153.5,14
89520,Share-zCNDvg,370.1,16
89521,Share-UuKqCC,171.4,14
89522,Share-twAJai,213.7,13
89523,Share-cQ9k1l,519.0,3
89524,Share-B1vQCr,571.2,2
89525,Share-ojzMZQ,889.6,6
89526,Share-O86ceh,933.7,7
89527,Share-AeNJDv,877.2,18
89528,Share-fdEJMo,742.5,2
89529,Share-qPiqbT,407.9,12
89530,Share-K25nx1,707.9,19
89531,Share-3XWmyL,197.0,18
89532,Share-COIlTn,949.6,4
89533,Share-mC2XP7,185.7,1
89534,Share-RdGy8I,314.4,3
89535,Share-TBIlBO,33.0,7
89536,Share-Fzy24I,147.6,17
89537,Share-YPq2qH,200.5,13
89538,Share-YigstV,486.8,14
89539,Share-OhvtBV,415.1,15
89540,Share-nP8iwB,105.1,17
89541,Share-PBzSn2,962.0,3
89542,Share-Wtv5ra,95.3,2
89543,Share-TTCa10,672.2,16
89544,Share-Nc7D4j,93.0,16
89545,Share-xZE8iU,380.7,9
89546,Share-KAzGoB,207.2,15
89547,Share-DDrJU7,889.8,10
89548,Share-3SK3YQ,316.5,8
89549,Share-QCUMmu,175.0,3
89550,Share-qmWG0c,770.9,16
89551,Share-W6tZwF,45.0,14
89552,Share-TrPFUp,520.2,17
89553,Share-yuM8jH,627.3,1
89554,Share-MHsLCr,84.4,9
89555,Share-SvrKq0,601.9,3
89556,Share-JmOpnq,483.7,14
89557,Share-WUkK4v,436.5,14
89558,Share-YgXNAj,890.7,2
89559,Share-uOglSC,180.9,15
89560,Share-2MMYeq,869.4,6
89561,Share-qDI3e1,652.6,7
89562,Share-Wcr6cw,170.3,5
89563,Share-IHReez,443.6,11
89564,Share-yHzmH2,912.4,10
89565,Share-lq9APE,101.3,15
89566,Share-tA2R5P,815.3,12
89567,Share-lfCXtx,670.4,17
89568,Share-0Jbr2L,335.2,15
89569,Share-J9icwj,729.3,8
89570,Share-1ZAe62,203.8,18
89571,Share-Tcq9aN,926.3,9
89572,Share-EnJXiV,596.6,1
89573,Share-jBCwZq,152.9,17
89574,Share-mZMEnA,656.6,16
89575,Share-pITIe7,500.2,10
89576,Share-4ao9IG,790.2,3
89577,Share-j9904v,257.6,3
89578,Share-XEBMLV,777.4,2
89579,Share-GbgpcK,430.1,17
89580,Share-lieDAT,851.2,16
89581,Share-E86ygP,699.6,6
89582,Share-6ECnM9,316.8,16
89583,Share-ASWaZu,339.8,18
89584,Share-TXLczk,883.0,11
89585,Share-CoTEK2,0.5,10
89586,Share-psz3me,344.1,11
89587,Share-CJYguh,997.3,7
89588,Share-RGROPk,29.4,2
89589,Share-X3HhHz,493.2,8
89590,Share-8RnC2F,154.0,16
89591,Share-tFZVUM,879.2,14
89592,Share-jhZjll,273.7,16
89593,Share-v4foqU,431.7,4
89594,Share-gicJ2R,761.1,6
89595,Share-A0nvKi,524.7,12
89596,Share-vxmEjb,773.4,16
89597,Share-hDWv6g,626.9,8
89598,Share-RILSFo,391.9,12
89599,Share-8OnLj8,121.5,12
89600,Share-VWzQJm,503.5,3
89601,Share-Xz3rIx,806.7,17
89602,Share-3b4HUT,276.7,12
89603,Share-xZrk3i,733.9,8
89604,Share-LCV1WS,114.7,11
89605,Share-Qjtd91,148.2,15
89606,Share-7PyHtZ,302.0,8
89607,Share-NgNECY,707.0,9
89608,Share-YYsuA9,970.9,13
89609,Share-U6QZMs,416.7,10
89610,Share-oviRQu,556.1,17
89611,Share-6DofQv,490.3,4
89612,Share-O7PP4d,317.6,2
89613,Share-TeB3nz,385.1,6
89614,Share-4Olyha,15.2,17
89615,Share-ZFu9FQ,546.0,8
89616,Share-yApYTW,852.0,9
89617,Share-HmXiw2,458.3,11
89618,Share-Dp7ubs,197.4,7
89619,Share-Ztu4dj,769.7,4
89620,Share-tjIrP2,2.7,13
89621,Share-5mugZ0,975.6,11
89622,Share-Jig12H,410.1,17
89623,Share-4MGYjE,733.3,10
89624,Share-yksm1E,27.7,17
89625,Share-pxj94W,94.2,18
89626,Share-QD41rx,412.6,1
89627,Share-wweCuw,96.1,12
89628,Share-ZLAv94,189.0,4
89629,Share-QpcKG7,972.9,19
89630,Share-mbiG4L,975.6,8
89631,Share-dTOdQj,994.8,17
89632,Share-Hj6NNd,876.3,4
89633,Share-sC5Tm2,243.9,1
89634,Share-ikzdTA,945.1,9
89635,Share-dk2jWL,473.7,19
89636,Share-DAqD4j,842.6,14
89637,Share-gvUbfe,791.9,15
89638,Share-XRo6Mk,260.6,13
89639,Share-s0tI0V,366.1,6
89640,Share-7sq6vm,230.1,10
89641,Share-MyxS5E,979.2,11
89642,Share-BOnXKM,786.2,8
89643,Share-2reCE6,713.7,18
89644,Share-jFYNZg,22.9,6
89645,Share-HDhz6z,379.5,4
89646,Share-hRE6dh,366.5,4
89647,Share-MKKcuX,565.5,4
89648,Share-mQwliO,869.6,5
89649,Share-U4bwZZ,29.3,9
89650,Share-GnbqHh,582.3,17
89651,Share-DZLRuw,594.3,11
89652,Share-dfedVj,337.3,1
89653,Share-lWBCNr,395.8,17
89654,Share-CfvyeK,333.8,6
89655,Share-pQ1Xl1,504.0,3
89656,Share-Z0ta49,978.6,6
89657,Share-yt1NLx,190.3,4
89658,Share-pjw2qM,836.9,12
89659,Share-QOcnOk,171.7,10
89660,Share-DsCByI,606.5,8
89661,Share-jlBobE,885.3,16
89662,Share-xy21aS,444.9,1
89663,Share-GkCeSX,444.2,14
89664,Share-i05apQ,403.9,11
89665,Share-TprlgO,843.0,5
89666,Share-LMXLwH,984.7,3
89667,Share-UMTGXK,873.3,14
89668,Share-NHLgPe,616.5,14
89669,Share-xMRkX2,517.2,5
89670,Share-p94h0G,939.8,17
89671,Share-DnP7yK,5.0,12
89672,Share-E33FM1,220.7,14
89673,Share-w8AOtW,804.2,7
89674,Share-8ErzsK,518.4,17
89675,Share-C6mUY7,257.1,18
89676,Share-FgGhH1,470.9,19
89677,Share-1con9H,846.2,4
89678,Share-EaS9sd,869.7,18
89679,Share-Gb6F4c,717.2,17
89680,Share-tWuYPv,806.2,17
89681,Share-WMyR9R,202.4,19
89682,Share-PVAwdd,650.3,17
89683,Share-7IXLRj,933.3,13
89684,Share-QUu1K1,770.9,1
89685,Share-Eh641T,858.3,19
89686,Share-Tm4aAV,828.0,13
89687,Share-DQl8Nw,979.2,14
89688,Share-YY7aEX,297.8,3
89689,Share-IbF0CT,80.2,7
89690,Share-YvOWDT,789.3,9
89691,Share-Ur8AH2,916.0,2
89692,Share-mdNKyk,489.3,1
89693,Share-GdHfjr,393.4,3
89694,Share-OQVX1n,671.8,18
89695,Share-LqGsqP,723.1,8
89696,Share-dfRc1f,433.2,6
89697,Share-zI05dO,623.7,11
89698,Share-TnJVGj,214.9,4
89699,Share-VDeYjL,565.3,19
89700,Share-gho4XS,265.4,18
89701,Share-DTl3Jg,84.9,17
89702,Share-K2f4LZ,987.4,9
89703,Share-iNhA5N,728.8,17
89704,Share-EfVa66,181.6,8
89705,Share-EB7p3I,766.1,10
89706,Share-L9xOkC,198.9,17
89707,Share-CSKmae,465.8,16
89708,Share-zOUrFy,93.4,2
89709,Share-0AFiY8,702.3,18
89710,Share-sC9dB1,380.9,13
89711,Share-bM86hU,612.8,12
89712,Share-qDRr9g,800.2,17
89713,Share-T4nBcZ,180.6,18
89714,Share-39Lpbg,214.2,11
89715,Share-lojJre,63.1,9
89716,Share-64DapW,402.4,10
89717,Share-Ce4FPO,143.4,3
89718,Share-yUQ7sf,810.4,1
89719,Share-DGzNLw,503.6,13
89720,Share-DS5r17,998.8,2
89721,Share-I4X2rP,661.2,14
89722,Share-BlYdrM,685.2,6
89723,Share-Gqhix9,478.6,15
89724,Share-1IAL5G,641.7,8
89725,Share-fZbn3R,279.2,13
89726,Share-Iy7hiF,803.9,10
89727,Share-4F8ase,308.7,5
89728,Share-d30xiQ,952.4,1
89729,Share-WpuEnQ,824.1,5
89730,Share-OVbNgy,95.1,5
89731,Share-WwXbcQ,554.7,6
89732,Share-OOGKjp,622.9,5
89733,Share-Uc8doP,890.1,2
89734,Share-mIhFmc,116.4,6
89735,Share-e5GGsW,362.8,8
89736,Share-kmJ1F0,264.4,19
89737,Share-Q0l18y,25.3,14
89738,Share-zbsAdO,200.4,1
89739,Share-RGbSY9,642.8,6
89740,Share-muSf9L,876.2,17
89741,Share-JJLMzR,723.1,9
89742,Share-MLoD35,440.9,11
89743,Share-KivG8L,664.0,19
89744,Share-RBKIhQ,457.9,15
89745,Share-iqpWHT,861.5,5
89746,Share-doTDFp,971.5,14
89747,Share-Oc7cex,547.0,10
89748,Share-eizF9T,380.0,6
89749,Share-ZcMkdV,223.0,15
89750,Share-1wKA4x,330.6,12
89751,Share-2KmKVO,541.8,4
89752,Share-4T94IO,332.4,6
89753,Share-0jjrDi,904.6,3
89754,Share-j7ODPJ,585.9,9
89755,Share-YlcUNl,485.0,5
89756,Share-aa22j6,434.1,9
89757,Share-JpDbKH,298.0,18
89758,Share-GXYLvP,495.8,16
89759,Share-gKs6FS,121.9,11
89760,Share-zOAkx1,912.7,3
89761,Share-JB7kaQ,963.6,17
89762,Share-JoBd3a,791.4,2
89763,Share-GPQtmb,981.9,13
89764,Share-u9pagQ,283.9,12
89765,Share-S4k70v,459.7,12
89766,Share-v1M8jV,731.8,12
89767,Share-iyJwKZ,320.3,9
89768,Share-oymudd,30.0,4
89769,Share-7kWe40,781.0,4
89770,Share-wANbkQ,686.5,6
89771,Share-KUg6bb,561.2,2
89772,Share-vso8Ib,956.8,1
89773,Share-0jmVWY,997.1,12
89774,Share-E9eaB7,970.7,18
89775,Share-r3ojVu,841.8,14
89776,Share-C2RAwM,595.8,2
89777,Share-qZrGzN,88.8,11
89778,Share-rmuCmX,647.5,6
89779,Share-HLF7fu,807.2,19
89780,Share-2SC9hW,698.8,2
89781,Share-B93VPF,423.4,2
89782,Share-VgUrWH,754.7,9
89783,Share-MWeNl0,778.9,4
89784,Share-YwVvfI,684.7,10
89785,Share-tKz4tz,937.4,13
89786,Share-BnyUDg,103.8,8
89787,Share-EzS6N6,3.9,3
89788,Share-5qUi9u,65.9,6
89789,Share-wcXUq5,608.5,18
89790,Share-d0deYx,72.7,11
89791,Share-aoKk6d,996.8,2
89792,Share-cwbxSL,547.0,4
89793,Share-zo57M2,35.5,2
89794,Share-CW8fYB,252.3,16
89795,Share-6ZpbSa,848.1,18
89796,Share-KT9IBF,9.9,14
89797,Share-lmeVwl,635.0,3
89798,Share-4pLa8j,685.8,14
89799,Share-bD5u93,78.1,1
89800,Share-HwE9WI,525.3,2
89801,Share-Vmjd0e,672.1,18
89802,Share-Uiy78j,548.8,14
89803,Share-SfGXtL,249.3,3
89804,Share-JpcudH,385.8,13
89805,Share-SlGF8T,786.4,18
89806,Share-YY8l6A,266.7,12
89807,Share-05W3y4,993.2,11
89808,Share-gXQPuD,13.2,14
89809,Share-Ug1RyM,748.8,15
89810,Share-12lwpl,710.4,19
89811,Share-nmrJ3C,451.7,1
89812,Share-BFHxKM,210.6,12
89813,Share-b8f9eH,50.6,11
89814,Share-Ecditm,21.3,5
89815,Share-5poJ2H,971.5,8
89816,Share-OvG4nH,453.8,13
89817,Share-63BMUx,614.9,6
89818,Share-lRdrU8,157.8,2
89819,Share-VN6AWV,159.0,18
89820,Share-eEiTtr,355.4,3
89821,Share-U7XBuj,703.7,2
89822,Share-zrtJMe,513.4,8
89823,Share-tLj4Fc,664.3,2
89824,Share-DWVgqN,134.5,19
89825,Share-HVpGe2,331.2,3
89826,Share-fARcVB,141.8,10
89827,Share-gBpGu6,173.8,18
89828,Share-eD82r3,171.5,8
89829,Share-7S9dme,424.9,11
89830,Share-Al4DX1,198.5,12
89831,Share-4wNJY2,729.6,3
89832,Share-lePlnk,95.0,12
89833,Share-HtnfwI,710.3,16
89834,Share-8JSuwj,143.9,18
89835,Share-DlUA6d,293.6,6
89836,Share-FE65cz,988.5,10
89837,Share-1TBHhq,109.5,15
89838,Share-8qnZJD,360.4,9
89839,Share-se6MZP,41.5,16
89840,Share-HIQyZy,8.0,6
89841,Share-q3ZtUq,117.2,18
89842,Share-CkZw4r,888.0,6
89843,Share-DCiQ0k,287.1,9
89844,Share-8k6tc1,12.9,2
89845,Share-5MT6eb,746.7,6
89846,Share-pM6fy8,795.2,18
89847,Share-hy2f7V,25.1,17
89848,Share-7Fa98f,470.1,2
89849,Share-c9hJ7X,445.4,15
89850,Share-hLV3JX,306.4,11
89851,Share-ks8ogf,807.1,16
89852,Share-9Qrkm3,345.5,9
89853,Share-FleLCT,860.6,5
89854,Share-8AcIMZ,505.4,10
89855,Share-JfwS4i,299.1,15
89856,Share-2utmKX,315.1,3
89857,Share-LUPnWX,414.7,9
89858,Share-I97Lfy,877.9,3
89859,Share-TVHo04,271.8,2
89860,Share-UAdQ5t,711.3,3
89861,Share-c7RDEM,307.0,15
89862,Share-6MBAz1,175.6,4
89863,Share-AzYM0i,467.9,13
89864,Share-S2KpcY,385.8,3
89865,Share-EvTFW8,800.5,1
89866,Share-TA68uD,110.0,14
89867,Share-i9yCvT,734.5,8
89868,Share-yVPDG8,158.0,10
89869,Share-JWWMqG,436.7,13
89870,Share-fRbNQA,256.7,13
89871,Share-vQjXUC,547.1,17
89872,Share-GC3GPh,773.5,19
89873,Share-gK6H9s,392.8,4
89874,Share-21fLgG,469.5,18
89875,Share-anBYCM,174.0,16
89876,Share-Gl9eKB,833.1,15
89877,Share-13woki,215.3,8
89878,Share-X8lgF8,658.8,19
89879,Share-ZSpGjy,179.9,11
89880,Share-PlVi73,202.7,6
89881,Share-ElK33G,407.2,5
89882,Share-d9fxWs,342.8,3
89883,Share-ccOMzF,505.4,13
89884,Share-PZAvzE,469.4,7
89885,Share-n8N1kq,799.6,9
89886,Share-EpdBU3,791.6,1
89887,Share-K2v1pT,937.0,6
89888,Share-HRwxVy,326.5,11
89889,Share-Br7Ph8,403.4,10
89890,Share-goGjDG,138.0,3
89891,Share-zUPMeC,911.4,4
89892,Share-s5c80e,568.7,10
89893,Share-QvTCmp,758.8,9
89894,Share-5oUJPT,772.8,15
89895,Share-jyde5Q,747.0,18
89896,Share-znRW7C,763.3,7
89897,Share-Rjzh2U,762.2,3
89898,Share-QsDebc,430.0,11
89899,Share-cumvYf,725.4,12
89900,Share-7FuVHY,148.0,5
89901,Share-o0UyBf,168.2,10
89902,Share-DoT4kg,640.4,4
89903,Share-LLTqn9,707.2,11
89904,Share-gu3Uha,53.0,19
89905,Share-VHHw0S,655.0,9
89906,Share-HqirZu,377.4,16
89907,Share-v9pYMq,408.9,7
89908,Share-UDmIAF,923.7,1
89909,Share-xt6IZh,554.2,19
89910,Share-ulvU3J,48.9,13
89911,Share-TgzgF5,246.7,17
89912,Share-HkojzO,508.7,2
89913,Share-ZUA3O3,199.9,16
89914,Share-s5DdCQ,92.9,15
89915,Share-iyuvbs,526.9,12
89916,Share-QFrzaj,892.7,6
89917,Share-OuOtC5,588.1,17
89918,Share-ID8UgR,198.7,8
89919,Share-kSw0Au,147.3,18
89920,Share-OuzRBj,353.2,12
89921,Share-LXnyRT,764.5,19
89922,Share-0wwVhZ,766.2,1
89923,Share-uHCNFJ,675.1,10
89924,Share-fJ5D2v,216.9,9
89925,Share-6bDzIA,76.8,2
89926,Share-eevPPP,156.1,11
89927,Share-NxrA3c,933.1,3
89928,Share-DEp5MR,708.6,11
89929,Share-7FEcLI,551.2,6
89930,Share-15u2rE,386.4,11
89931,Share-WojOjk,16.3,13
89932,Share-zK7HeF,643.9,8
89933,Share-Dl8ogu,579.6,8
89934,Share-EXXnzv,761.7,2
89935,Share-hVsEFZ,618.0,14
89936,Share-mfzqTz,613.0,15
89937,Share-tas0EY,506.0,2
89938,Share-9Gv9Hg,776.2,14
89939,Share-CbcYyh,327.9,1
89940,Share-Qy937h,783.2,16
89941,Share-UIQGBi,717.9,15
89942,Share-mVEIyN,796.8,18
89943,Share-wyjQw1,626.0,4
89944,Share-KO6Qwm,257.7,7
89945,Share-I8ZZjl,738.1,8
89946,Share-vnu6vD,92.2,8
89947,Share-f9oc3l,231.6,18
89948,Share-FCfp9A,992.7,5
89949,Share-gDMEZT,78.8,3
89950,Share-aDIEQY,586.2,18
89951,Share-dO2j6P,195.9,7
89952,Share-7VWqzP,566.6,19
89953,Share-YTzVwM,550.3,1
89954,Share-2YXLW8,982.2,14
89955,Share-vc0KUY,400.6,14
89956,Share-CQMw3P,124.6,4
89957,Share-kgWLV6,795.5,19
89958,Share-RSkYRn,287.5,4
89959,Share-E6VKdQ,294.6,3
89960,Share-iRegY2,12.9,2
89961,Share-YLahW0,179.6,2
89962,Share-iyg64D,527.6,12
89963,Share-T8JELa,928.5,19
89964,Share-k1bv8L,189.3,1
89965,Share-ZqIV9E,89.5,19
89966,Share-iGqvas,710.7,4
89967,Share-amvXPD,698.8,4
89968,Share-logTKX,946.9,15
89969,Share-lEgfep,322.0,15
89970,Share-ukRR9D,987.8,12
89971,Share-LF7hmj,513.5,16
89972,Share-XuqUo1,550.6,2
89973,Share-Y2QVvq,339.3,16
89974,Share-0Oztkj,905.9,18
89975,Share-4VtWDR,576.9,4
89976,Share-xfJzsn,509.5,15
89977,Share-k9MdVs,361.2,13
89978,Share-B7ePKT,400.0,11
89979,Share-55lDNF,598.8,19
89980,Share-zBiPdT,930.6,10
89981,Share-BcAGyX,791.3,11
89982,Share-cFr2u1,862.7,1
89983,Share-n4rqly,56.5,9
89984,Share-tHqqaJ,14.3,5
89985,Share-pDbjjS,898.8,4
89986,Share-iMTvKR,237.4,7
89987,Share-wPef5t,132.8,19
89988,Share-yWozmV,65.5,17
89989,Share-M4CcGy,548.8,4
89990,Share-QNA292,886.3,15
89991,Share-Xy0YdT,261.3,16
89992,Share-ogNvQH,626.3,13
89993,Share-eVq2LK,918.3,19
89994,Share-ypJypo,706.1,5
89995,Share-NoyZSm,71.6,10
89996,Share-jRSmeN,76.2,14
89997,Share-oJ9ObA,822.4,9
89998,Share-hXP8hy,269.2,18
89999,Share-NRE90y,850.8,10
90000,Share-2r0fHi,426.3,9
90001,Share-7vPnlI,819.0,5
90002,Share-E98hat,627.4,13
90003,Share-G8tYj8,404.3,1
90004,Share-pvqLuZ,821.0,19
90005,Share-1JjuH0,681.9,10
90006,Share-mKQYvg,934.7,6
90007,Share-GhECDN,101.4,14
90008,Share-GNgFfj,294.4,10
90009,Share-9qJbyY,740.4,7
90010,Share-WOkrQc,367.8,7
90011,Share-hAKHXl,480.2,11
90012,Share-OSHovD,684.5,9
90013,Share-CXpzSN,574.0,15
90014,Share-M4vWAE,481.1,12
90015,Share-Kt3Dqf,312.9,11
90016,Share-72YRZF,945.0,3
90017,Share-qG5nhX,104.8,14
90018,Share-E5dAUU,13.0,4
90019,Share-vTGYWt,276.3,19
90020,Share-lcxKi5,36.3,1
90021,Share-RB29y5,926.7,15
90022,Share-dawdAA,528.9,12
90023,Share-HafY9G,428.2,17
90024,Share-weh70U,938.4,16
90025,Share-rjA8qo,19.1,7
90026,Share-aiMZc2,181.7,1
90027,Share-HO5yIQ,8.8,17
90028,Share-aJDmGA,457.4,9
90029,Share-6jml1M,834.6,8
90030,Share-ByYc5k,552.1,13
90031,Share-T6WblT,139.8,2
90032,Share-p6yN2l,472.4,2
90033,Share-WSI1Lx,810.5,16
90034,Share-LR3omE,563.6,16
90035,Share-njYSw6,148.0,6
90036,Share-9BOqz1,33.1,4
90037,Share-yCULdz,453.7,16
90038,Share-QGJJj5,486.4,10
90039,Share-q0FilX,883.3,12
90040,Share-gg1CHa,383.1,4
90041,Share-Fu2wzW,603.1,14
90042,Share-MGhlck,432.5,14
90043,Share-6KRjsG,73.2,16
90044,Share-5WPPPi,563.4,2
90045,Share-Y4XedK,495.8,12
90046,Share-MwDvF4,894.1,2
90047,Share-i2qk01,196.4,15
90048,Share-3y1N8m,186.7,17
90049,Share-vCUK3f,431.7,16
90050,Share-DPoC0G,213.8,8
90051,Share-rHGFXD,372.8,8
90052,Share-BWffkP,879.6,8
90053,Share-rgllCL,861.3,1
90054,Share-SWf7mW,64.6,1
90055,Share-5W6Bon,620.7,10
90056,Share-DL5NRc,611.5,9
90057,Share-hNRY7r,740.6,3
90058,Share-NOZD4X,11.8,9
